d 0, 0, 0, 0, 5
d 0, 0, 0, 1, 3
d 0, 0, 1, 0, 6
d 0, 0, 2, 1, 9
d 0, 0, 2, 2, 8
u 0, 1, 0, 0, 4
d 0, 1, 0, 1, 7
d 0, 1, 1, 0, 1
d 0, 1, 1, 1, 9
d 0, 1, 1, 2, 5
u 0, 2, 0, 1, 9
d 0, 2, 2, 1, 6
d 1, 0, 0, 0, 8
u 1, 0, 0, 2, 4
d 1, 0, 1, 0, 4
d 1, 0, 2, 0, 7
d 1, 1, 0, 1, 6
d 1, 1, 1, 0, 8
d 1, 1, 1, 2, 3
d 1, 1, 2, 1, 2
d 1, 2, 0, 2, 3
u 1, 2, 1, 0, 6
d 1, 2, 1, 2, 1
d 1, 2, 2, 2, 6
d 2, 0, 0, 1, 6
u 2, 0, 1, 1, 3
u 2, 1, 0, 1, 3
d 2, 1, 1, 0, 4
d 2, 1, 1, 1, 1
d 2, 1, 1, 2, 9
d 2, 1, 2, 1, 8
d 2, 2, 0, 0, 2
d 2, 2, 0, 1, 8
u 2, 2, 0, 2, 4
d 2, 2, 1, 2, 5
d 2, 2, 2, 1, 7
d 2, 2, 2, 2, 9
